placement_file,placement_basename,seedBase,run_mode,patch_xy_um,micro_thickness_um,bn_wt,zns_wt,incident_count,capture_count,total_track_length_um,sigma_eff_per_um,sigma_eff_per_cm,capture_probability
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0050.csv","placement_f_0.64_0050.csv",550410787,StageA_NeutronPatch,50,30,2,1,100000,6054,2.9102e+06,0.00208027,20.8027,0.06054
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0051.csv","placement_f_0.64_0051.csv",1109095884,StageA_NeutronPatch,50,30,2,1,100000,6216,2.90669e+06,0.00213852,21.3852,0.06216
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0052.csv","placement_f_0.64_0052.csv",696510884,StageA_NeutronPatch,50,30,2,1,100000,6064,2.90873e+06,0.00208476,20.8476,0.06064
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0053.csv","placement_f_0.64_0053.csv",346436365,StageA_NeutronPatch,50,30,2,1,100000,6055,2.90883e+06,0.00208159,20.8159,0.06055
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0054.csv","placement_f_0.64_0054.csv",643733603,StageA_NeutronPatch,50,30,2,1,100000,6174,2.90764e+06,0.00212337,21.2337,0.06174
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0055.csv","placement_f_0.64_0055.csv",199696097,StageA_NeutronPatch,50,30,2,1,100000,6132,2.90862e+06,0.00210821,21.0821,0.06132
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0056.csv","placement_f_0.64_0056.csv",625532704,StageA_NeutronPatch,50,30,2,1,100000,6151,2.90868e+06,0.0021147,21.147,0.06151
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0057.csv","placement_f_0.64_0057.csv",714091352,StageA_NeutronPatch,50,30,2,1,100000,6161,2.90643e+06,0.00211978,21.1978,0.06161
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0058.csv","placement_f_0.64_0058.csv",1869035697,StageA_NeutronPatch,50,30,2,1,100000,6107,2.90826e+06,0.00209988,20.9988,0.06107
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0059.csv","placement_f_0.64_0059.csv",1004943079,StageA_NeutronPatch,50,30,2,1,100000,6237,2.90663e+06,0.00214578,21.4578,0.06237
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0060.csv","placement_f_0.64_0060.csv",2024404329,StageA_NeutronPatch,50,30,2,1,100000,6233,2.90518e+06,0.00214548,21.4548,0.06233
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0061.csv","placement_f_0.64_0061.csv",1117079774,StageA_NeutronPatch,50,30,2,1,100000,6107,2.90756e+06,0.00210039,21.0039,0.06107
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0062.csv","placement_f_0.64_0062.csv",2088996654,StageA_NeutronPatch,50,30,2,1,100000,6120,2.90853e+06,0.00210416,21.0416,0.0612
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0063.csv","placement_f_0.64_0063.csv",2146213047,StageA_NeutronPatch,50,30,2,1,100000,6055,2.9094e+06,0.00208119,20.8119,0.06055
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0064.csv","placement_f_0.64_0064.csv",1932744668,StageA_NeutronPatch,50,30,2,1,100000,6078,2.90785e+06,0.00209021,20.9021,0.06078
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0065.csv","placement_f_0.64_0065.csv",417574953,StageA_NeutronPatch,50,30,2,1,100000,6295,2.90488e+06,0.00216704,21.6704,0.06295
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0066.csv","placement_f_0.64_0066.csv",1065458201,StageA_NeutronPatch,50,30,2,1,100000,6099,2.90847e+06,0.00209698,20.9698,0.06099
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0067.csv","placement_f_0.64_0067.csv",1482998195,StageA_NeutronPatch,50,30,2,1,100000,6129,2.90769e+06,0.00210786,21.0786,0.06129
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0068.csv","placement_f_0.64_0068.csv",1768532660,StageA_NeutronPatch,50,30,2,1,100000,5974,2.91049e+06,0.00205258,20.5258,0.05974
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0069.csv","placement_f_0.64_0069.csv",636852128,StageA_NeutronPatch,50,30,2,1,100000,5996,2.91129e+06,0.00205956,20.5956,0.05996
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0070.csv","placement_f_0.64_0070.csv",930473739,StageA_NeutronPatch,50,30,2,1,100000,6102,2.90791e+06,0.00209842,20.9842,0.06102
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0071.csv","placement_f_0.64_0071.csv",819952466,StageA_NeutronPatch,50,30,2,1,100000,6069,2.90831e+06,0.00208678,20.8678,0.06069
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0072.csv","placement_f_0.64_0072.csv",957941499,StageA_NeutronPatch,50,30,2,1,100000,6092,2.90769e+06,0.00209514,20.9514,0.06092
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0073.csv","placement_f_0.64_0073.csv",145695425,StageA_NeutronPatch,50,30,2,1,100000,6103,2.90826e+06,0.00209851,20.9851,0.06103
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0074.csv","placement_f_0.64_0074.csv",538162938,StageA_NeutronPatch,50,30,2,1,100000,6058,2.9091e+06,0.00208243,20.8243,0.06058
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0075.csv","placement_f_0.64_0075.csv",1592236578,StageA_NeutronPatch,50,30,2,1,100000,6154,2.90646e+06,0.00211735,21.1735,0.06154
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0076.csv","placement_f_0.64_0076.csv",311446722,StageA_NeutronPatch,50,30,2,1,100000,6154,2.90802e+06,0.00211622,21.1622,0.06154
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0077.csv","placement_f_0.64_0077.csv",344040741,StageA_NeutronPatch,50,30,2,1,100000,6153,2.9083e+06,0.00211567,21.1567,0.06153
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0078.csv","placement_f_0.64_0078.csv",2125406791,StageA_NeutronPatch,50,30,2,1,100000,6185,2.9084e+06,0.0021266,21.266,0.06185
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0079.csv","placement_f_0.64_0079.csv",316186951,StageA_NeutronPatch,50,30,2,1,100000,6180,2.90748e+06,0.00212555,21.2555,0.0618
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0080.csv","placement_f_0.64_0080.csv",31979875,StageA_NeutronPatch,50,30,2,1,100000,6139,2.9091e+06,0.00211028,21.1028,0.06139
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0081.csv","placement_f_0.64_0081.csv",1832363068,StageA_NeutronPatch,50,30,2,1,100000,6104,2.9094e+06,0.00209802,20.9802,0.06104
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0082.csv","placement_f_0.64_0082.csv",578572008,StageA_NeutronPatch,50,30,2,1,100000,6058,2.90863e+06,0.00208277,20.8277,0.06058
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0083.csv","placement_f_0.64_0083.csv",366065797,StageA_NeutronPatch,50,30,2,1,100000,6018,2.9104e+06,0.00206776,20.6776,0.06018
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0084.csv","placement_f_0.64_0084.csv",1268898236,StageA_NeutronPatch,50,30,2,1,100000,6182,2.90641e+06,0.00212702,21.2702,0.06182
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0085.csv","placement_f_0.64_0085.csv",1680339198,StageA_NeutronPatch,50,30,2,1,100000,6278,2.90503e+06,0.00216108,21.6108,0.06278
"/home/ubuntu/geant4_work/B2/Input/placements/2-1/placement_f_0.64_0086.csv","placement_f_0.64_0086.csv",1041417330,StageA_NeutronPatch,50,30,2,1,100000,6147,2.90721e+06,0.0021144,21.144,0.06147
